backend,eps,upsampfac,n_coils,shape,n_samples,dim,sense,task,run,run_time,mem_avg,mem_peak,cpu_avg,cpu_peak,gpu0_mem_GiB_avg,gpu0_mem_GiB_peak,gpu0_usage_avg,gpu0_usage_peak,coil_time,coil_mem
finufft,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,adjoint,3,1.787578598014079,3.488455399222996,5.188083648681641,464.4086956521739,1452.7,0.0,0.0,0.0,0.0,1.787578598014079,5.188083648681641
finufft,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,grad,0,2.578689977992326,3.803351435168036,5.910381317138672,519.1827586206897,1452.7,0.0,0.0,0.0,0.0,2.578689977992326,5.910381317138672
finufft,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,grad,1,2.610701472964138,3.949607624727137,5.910381317138672,544.6941176470589,1452.7,0.0,0.0,0.0,0.0,2.610701472964138,5.910381317138672
finufft,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,grad,2,2.512838795082644,4.026519072683234,5.910381317138672,545.4157894736843,1452.7,0.0,0.0,0.0,0.0,2.512838795082644,5.910381317138672
finufft,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,forward,0,24.57670417497866,17.78900327682495,18.885047912597656,1027.1475000000005,1360.2,0.0,0.0,0.0,0.0,0.7680220054680831,0.5901577472686768
finufft,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,adjoint,0,38.147424891009,15.494385407702758,18.885047912597656,1023.0762376237624,1469.4,0.0,0.0,0.0,0.0,1.1921070278440313,0.5901577472686768
finufft,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,grad,0,57.10916501493193,15.513734649500082,18.885047912597656,1053.1222797927462,1469.4,0.0,0.0,0.0,0.0,1.7846614067166229,0.5901577472686768
finufft,0.001,2.0,12,"(256, 256, 176)",136301568,3,False,forward,0,31.368605697061867,53.86350028991699,58.999778747558594,1107.8919999999998,1606.1,0.0,0.0,0.0,0.0,2.6140504747551554,4.916648228963216
finufft,0.001,2.0,12,"(256, 256, 176)",136301568,3,False,adjoint,0,31.610572433914054,49.448631588775335,58.999778747558594,1219.8237623762377,1606.1,0.0,0.0,0.0,0.0,2.6342143694928377,4.916648228963216
finufft,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,forward,0,24.618082712986507,17.798762321472168,18.885478973388672,1024.5275,1427.3,0.0,0.0,0.0,0.0,0.7693150847808283,0.590171217918396
finufft,0.001,2.0,12,"(256, 256, 176)",136301568,3,False,grad,0,64.25949456903618,48.41798294291777,58.999778747558594,1208.1416666666669,1606.3,0.0,0.0,0.0,0.0,5.354957880753015,4.916648228963216
finufft,0.001,2.0,32,"(256, 256, 176)",136301568,3,False,forward,0,85.21087529195938,114.11982673757215,126.80715560913086,1112.2183823529413,1606.8,0.0,0.0,0.0,0.0,2.6628398528737307,3.9627236127853394
finufft,0.001,2.0,32,"(256, 256, 176)",136301568,3,False,adjoint,0,85.86583564593457,102.11478196308288,126.80715560913086,1230.0556776556778,1608.8,0.0,0.0,0.0,0.0,2.683307363935455,3.9627236127853394
finufft,0.001,2.0,32,"(256, 256, 176)",136301568,3,False,grad,0,176.70967239700258,97.20553738976211,126.80715560913086,1204.9225631768952,1609.3,0.0,0.0,0.0,0.0,5.5221772624063306,3.9627236127853394
finufft,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,adjoint,0,36.67609492002521,15.510284346763534,18.885478973388672,1054.5646464646463,1522.5,0.0,0.0,0.0,0.0,1.1461279662507877,0.590171217918396
finufft,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,grad,0,65.61952468194067,15.4039628645953,18.885478973388672,1032.41568627451,1522.5,0.0,0.0,0.0,0.0,2.050610146310646,0.590171217918396
finufft,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,forward,0,9.751318176975474,8.290135192871094,8.865894317626953,985.12,1334.7,0.0,0.0,0.0,0.0,0.8126098480812894,0.7388245264689127
