backend,eps,upsampfac,n_coils,shape,n_samples,dim,sense,task,run,run_time,mem_avg,mem_peak,cpu_avg,cpu_peak,gpu0_mem_GiB_avg,gpu0_mem_GiB_peak,gpu0_usage_avg,gpu0_usage_peak,coil_time,coil_mem
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,grad,0,123.55323310098902,5.902143710997047,6.981723785400391,907.0112195121952,1601.8,0.0,0.0,0.0,0.0,123.55323310098902,6.981723785400391
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,forward,0,27.21428706101142,4.0868203698135,4.213798522949219,1482.2658536585366,1601.0,0.0,0.0,0.0,0.0,27.21428706101142,4.213798522949219
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,grad,0,121.99412685300922,5.833646937779018,6.958148956298828,915.6335064935064,1602.5,0.0,0.0,0.0,0.0,121.99412685300922,6.958148956298828
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,adjoint,0,99.61086776500451,5.197158302228475,5.777839660644531,922.2969072164948,1601.7,0.0,0.0,0.0,0.0,99.61086776500451,5.777839660644531
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,forward,0,23.174958677002,4.043657357352121,4.189281463623047,1447.64,1601.7,0.0,0.0,0.0,0.0,23.174958677002,4.189281463623047
torchkbnufft-cpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,forward,0,206.86558662800235,37.99470285908827,54.803497314453125,1490.8520249221183,1701.1,0.0,0.0,0.0,0.0,6.464549582125073,1.7126092910766602
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,adjoint,0,110.36745172999508,5.367537957650644,5.971870422363281,910.6064814814812,1601.0,0.0,0.0,0.0,0.0,110.36745172999508,5.971870422363281
torchkbnufft-cpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,grad,0,407.3909277809871,39.00963902566075,67.43756484985352,1237.9839937839938,1700.3,0.0,0.0,0.0,0.0,12.730966493155847,2.1074239015579224
finufft,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,adjoint,0,35.06979725370184,20.228983999668863,21.99640655517578,1158.919540229885,1524.2,0.0,0.0,0.0,0.0,1.0959311641781826,0.6873877048492432
finufft,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,adjoint,0,35.3018549727276,20.193858753551137,21.979755401611328,1126.6147727272728,1459.4,0.0,0.0,0.0,0.0,1.1031829678977374,0.686867356300354
finufft,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,grad,0,56.42423426778987,20.842024456855302,23.0000114440918,1108.641899441341,1459.4,0.0,0.0,0.0,0.0,1.7632573208684335,0.7187503576278688
finufft,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,forward,0,7.596055482048541,10.015083606426533,10.75088119506836,1068.1384615384618,1330.7,0.0,0.0,0.0,0.0,0.6330046235040451,0.8959067662556967
finufft,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,adjoint,0,13.239387459121644,10.188426208496091,11.106483459472656,1075.84,1477.1,0.0,0.0,0.0,0.0,1.103282288260137,0.9255402882893881
finufft,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,grad,0,21.426691395696253,10.79515512438788,12.1513671875,1092.8463768115942,1477.1,0.0,0.0,0.0,0.0,1.7855576163080211,1.0126139322916667
finufft,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,forward,0,19.440228554885834,19.8691771722609,21.021163940429688,1171.5903225806453,1349.5,0.0,0.0,0.0,0.0,0.6075071423401823,0.6569113731384277
finufft,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,adjoint,0,13.919093762990087,10.383996800013952,11.266464233398438,1088.1771428571428,1437.5,0.0,0.0,0.0,0.0,1.159924480249174,0.9388720194498698
finufft,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,grad,0,54.58478330122307,20.84765000178896,23.00516891479492,1154.3097701149427,1524.2,0.0,0.0,0.0,0.0,1.705774478163221,0.7189115285873412
